Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-8458,464220,Closed,ssanz,2023-04-11 14:18:00,12/Apr/23 12:00 AM,2023-04-14 09:34:00,TUI AG,Incident Request (IR),464220.0,77.0,3920.0000000000005,116.0
CI-8452,463886,Closed,kgostynska,2023-04-07 15:59:00,11/Apr/23 12:00 AM,2023-04-12 15:17:00,Porsche,Incident Request (IR),463886.0,5742.0,5890.0,1268.0
CI-8435,463434,Closed,yutaka,2023-04-06 02:49:00,13/Apr/23 12:00 AM,2023-04-06 10:10:00,Init AG,Incident Request (IR),463434.0,360.0,360.0,81.0
CI-8425,462813,Closed,nsanchez,2023-04-04 14:58:00,10/Apr/23 12:00 AM,2023-04-05 11:57:00,Amadeus,Incident Request (IR),462813.0,13.0,1252.0,7.0
CI-8425,462813,Closed,nsanchez,2023-04-04 14:58:00,10/Apr/23 12:00 AM,2023-04-05 11:57:00,Amadeus,Incident Request (IR),462813.0,1239.0,1252.0,7.0
CI-8424,462772,Closed,kgostynska,2023-04-04 13:25:00,11/Apr/23 12:00 AM,2023-04-05 13:23:00,Amadeus,Incident Request (IR),462772.0,1334.0,1334.0,104.0
CI-8415,462306,Closed,nsanchez,2023-04-03 08:40:00,04/Apr/23 12:00 AM,2023-04-06 16:20:00,Luther,Incident Request (IR),462306.0,2993.0,4089.0000000000005,691.0
CI-8412,462267,Closed,yutaka,2023-04-03 00:57:00,07/Apr/23 12:00 AM,2023-04-14 09:37:00,CMS Hasche Sigle,Incident Request (IR),462267.0,3584.0,12058.0,4302.000000000001
CI-8360,459333,Closed,nsanchez,2023-03-23 14:52:00,29/Mar/23 12:00 AM,2023-04-05 09:39:00,Customer not yet listed,Incident Request (IR),459333.0,18407.0,18407.0,0.0
CI-8321,456627,Closed,yutaka,2023-03-16 11:21:00,20/Mar/23 12:00 AM,2023-03-29 16:29:00,Lufthansa City Center,Incident Request (IR),456627.0,10343.0,10343.0,8685.000000000002
CI-8316,456446,Closed,ssanz,2023-03-15 16:46:00,22/Mar/23 12:00 AM,2023-04-14 12:32:00,Allianz,Incident Request (IR),456446.0,27422.0,28684.0,14262.0
CI-8314,456336,Closed,nsanchez,2023-03-15 12:34:00,16/Mar/23 12:00 AM,2023-03-22 11:16:00,OBB,Incident Request (IR),456336.0,10002.0,10002.0,0.0
CI-8273,453848,Closed,ssanz,2023-03-07 13:31:00,08/Mar/23 12:00 AM,2023-04-10 10:50:00,Allianz,Incident Request (IR),453848.0,22.0,31408.000000000004,5721.0
CI-8192,449794,Closed,nsanchez,2023-02-20 14:31:00,02/Mar/23 12:00 AM,2023-02-22 15:01:00,OBB,Incident Request (IR),449794.0,2591.0,2910.0,0.0
CI-8168,448338,Closed,yutaka,2023-02-15 02:30:00,20/Feb/23 12:00 AM,2023-03-06 11:13:00,Vaillant,Incident Request (IR),448338.0,9381.0,19344.0,8539.000000000002
CI-8167,448336,Closed,yutaka,2023-02-15 02:08:00,24/Feb/23 12:00 AM,2023-03-08 01:31:00,Amadeus,Incident Request (IR),448336.0,10508.0,20137.0,10066.0
CI-8162,448042,Closed,nsanchez,2023-02-13 16:37:00,13/Feb/23 12:00 AM,2023-02-14 10:07:00,Porsche,Incident Request (IR),448042.0,1042.0000000000002,1042.0000000000002,8.000000000000002
CI-8151,447784,Closed,yutaka,2023-02-13 02:59:00,17/Feb/23 12:00 AM,2023-03-10 07:51:00,Vaillant,Incident Request (IR),447784.0,6196.0,10382.0,25910.0
CI-8137,447073,Closed,nsanchez,2023-02-08 13:39:00,14/Feb/23 12:00 AM,2023-03-07 09:12:00,Porsche,Incident Request (IR),447073.0,7613.0,30083.0,8530.000000000002
CI-8130,446901,Closed,yutaka,2023-02-08 03:24:00,10/Feb/23 12:00 AM,2023-02-17 08:47:00,Endress Hauser,Incident Request (IR),446901.0,3606.0,5586.0,7697.0
CI-8127,446771,Closed,nsanchez,2023-02-07 14:38:00,14/Feb/23 12:00 AM,2023-02-27 09:56:00,msg systems,Incident Request (IR),446771.0,13964.0,18503.0,10015.0
CI-8108,446348,Closed,nsanchez,2023-02-06 11:19:00,09/Feb/23 12:00 AM,2023-02-13 08:47:00,Munckhof,Incident Request (IR),446348.0,5525.0,9778.0,161.0
CI-8099,446053,Closed,nsanchez,2023-02-03 08:59:00,06/Feb/23 12:00 AM,2023-03-07 13:27:00,Porsche,Incident Request (IR),446053.0,5834.0,26797.0,19551.0
CI-8097,446005,Closed,yutaka,2023-02-03 02:15:00,06/Feb/23 12:00 AM,2023-03-24 02:22:00,Continental,Incident Request (IR),446005.0,41267.0,45342.0,0.0
CI-8077,444452,Closed,yutaka,2023-01-30 02:11:00,03/Feb/23 12:00 AM,2023-02-20 05:16:00,Heidelberg Cement,Incident Request (IR),444452.0,4657.0,4955.0,25470.0
CI-8071,444032,Closed,yutaka,2023-01-27 02:43:00,31/Jan/23 12:00 AM,2023-03-10 08:02:00,Vaillant,Incident Request (IR),444032.0,27100.0,31063.0,29736.0
CI-8071,444032,Closed,yutaka,2023-01-27 02:43:00,31/Jan/23 12:00 AM,2023-03-10 08:02:00,Vaillant,Incident Request (IR),444032.0,544.0000000000001,31063.0,29736.0
CI-8054,443576,Closed,tsteinhaeuser,2023-01-25 10:54:00,01/Feb/23 12:00 AM,2023-02-10 09:53:00,Expense Development,Incident Request (IR),443576.0,20262.0,21931.0,1048.0000000000002
CI-8030,442598,Closed,nsanchez,2023-01-19 13:03:00,20/Jan/23 12:00 AM,2023-02-22 08:37:00,MAN,Incident Request (IR),442598.0,9991.0,18023.0,24732.0
CI-8030,442598,Closed,nsanchez,2023-01-19 13:03:00,20/Jan/23 12:00 AM,2023-02-22 08:37:00,MAN,Incident Request (IR),442598.0,1226.0,18023.0,24732.0
CI-8008,441342,Closed,nsanchez,2023-01-13 10:16:00,18/Jan/23 12:00 AM,2023-02-23 08:43:00,Egis,Incident Request (IR),441342.0,4549.0,18494.0,40453.0
CI-8004,441284,Closed,yutaka,2023-01-13 04:01:00,16/Jan/23 12:00 AM,2023-01-25 07:10:00,CEPSA,Incident Request (IR),441284.0,7509.0,7577.0,9892.0
CI-7975,440055,Closed,nsanchez,2023-01-09 16:39:00,10/Jan/23 12:00 AM,2023-01-10 08:56:00,Bentley,Incident Request (IR),440055.0,976.0000000000001,976.0000000000001,1.0000000000000002
CI-7974,440053,Closed,nsanchez,2023-01-09 16:28:00,10/Jan/23 12:00 AM,2023-01-11 08:51:00,Bentley,Incident Request (IR),440053.0,990.0000000000001,990.0000000000001,1433.0
CI-7972,439958,Closed,nsanchez,2023-01-09 12:42:00,12/Jan/23 12:00 AM,2023-01-26 09:58:00,DER,Incident Request (IR),439958.0,4253.000000000001,16858.000000000004,157.0
CI-7972,439958,Closed,nsanchez,2023-01-09 12:42:00,12/Jan/23 12:00 AM,2023-01-26 09:58:00,DER,Incident Request (IR),439958.0,12605.0,16858.000000000004,157.0
CI-7970,439508,Closed,yutaka,2023-01-06 04:38:00,13/Jan/23 12:00 AM,2023-02-10 07:13:00,Amadeus,Incident Request (IR),439508.0,19019.0,20096.0,30459.0
CI-7966,439389,Closed,nsanchez,2023-01-05 12:25:00,09/Jan/23 12:00 AM,2023-01-09 11:15:00,Damm,Incident Request (IR),439389.0,28.0,1728.0,3962.0000000000005
CI-7966,439389,Closed,nsanchez,2023-01-05 12:25:00,09/Jan/23 12:00 AM,2023-01-09 11:15:00,Damm,Incident Request (IR),439389.0,1700.0,1728.0,3962.0000000000005
CI-7950,438853,Closed,nsanchez,2023-01-03 15:50:00,04/Jan/23 12:00 AM,2023-02-09 13:09:00,Porsche,Incident Request (IR),438853.0,8945.0,11556.0,30253.0
CI-7950,438853,Closed,nsanchez,2023-01-03 15:50:00,04/Jan/23 12:00 AM,2023-02-09 13:09:00,Porsche,Incident Request (IR),438853.0,2478.0,11556.0,30253.0
